1,Fat/Oil Name,energy(Kcal),protein(g),saturated_fat(g),trans_fat(g),monounsat_fat(g),polyunsat_fat(g),cholesterol(mg),sodium(mg)
171,"Salad dressing, italian dressing, commercial, regular",1000.0,0.41,2.95,0.067,5.64,10.7,0.0,993.0
172,"Salad dressing, italian dressing, commercial, regular, without salt",292.0,0.38,4.47,0.0,6.32,12.9,67.0,30.0
173,"Salad dressing, italian dressing, fat-free",195.0,0.97,0.295,0.0,0.235,0.192,2.0,1130.0
174,"Salad dressing, italian dressing, reduced calorie",200.0,0.3,2.88,0.0,4.66,11.6,0.0,1070.0
175,"Salad dressing, italian dressing, reduced fat, without salt",317.0,0.47,0.451,0.0,2.19,1.7,6.0,30.0
179,"Salad dressing, mayonnaise and mayonnaise-type, low calorie",263.0,0.9,2.96,0.0,4.63,10.4,26.0,837.0
180,"Salad dressing, mayonnaise type, regular, with salt",1050.0,0.65,3.4,0.078,5.05,12.2,19.0,653.0
181,"Salad dressing, mayonnaise, imitation, milk cream",97.0,2.1,2.8,0.0,1.7,0.3,43.0,504.0
182,"Salad dressing, mayonnaise, imitation, soybean",232.0,0.3,3.3,0.0,4.5,10.6,24.0,497.0
183,"Salad dressing, mayonnaise, imitation, soybean without cholesterol",482.0,0.1,7.5,0.0,10.5,27.6,0.0,353.0
184,"Salad dressing, mayonnaise, light",238.0,0.37,3.45,0.056,5.01,13.0,16.0,827.0
186,"Salad dressing, mayonnaise, regular",2840.0,0.96,11.7,0.187,16.8,44.7,42.0,635.0
187,"Salad dressing, mayonnaise, soybean and safflower oil, with salt",717.0,1.1,8.6,0.0,13.0,55.0,59.0,568.0
188,"Salad dressing, mayonnaise, soybean oil, without salt",717.0,1.1,11.8,0.0,22.7,37.1,59.0,30.0
190,"Salad dressing, mayonnaise-type, light",662.0,0.65,1.48,0.0,2.34,5.64,0.0,833.0
191,"Salad dressing, peppercorn dressing, commercial, regular",564.0,1.2,10.5,0.0,14.8,33.0,49.0,1100.0
192,"Salad dressing, poppyseed, creamy",399.0,0.92,6.06,0.144,8.21,17.3,15.0,933.0
193,"Salad dressing, ranch dressing, fat-free",497.0,0.25,0.447,0.0,0.388,0.698,7.0,897.0
194,"Salad dressing, ranch dressing, reduced fat",821.0,1.25,1.25,0.059,2.79,4.21,16.0,1120.0
195,"Salad dressing, ranch dressing, regular",430.0,1.32,6.96,0.182,9.2,25.8,26.0,901.0
